mlfb,fw,status,note
6ES7 417-4XT05-0AB0,V5.1,discontinued 10/16,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 417-4 DP
6ES7 417-4XT05-0AB0,V5.3.x,discontinued 10/16,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 417-4 DP
6ES7 414-4HJ04-0AB0,V4.x,discontinued 01/10,21.10 H-CPU as of 08/04 (as of PCS 7 V6.1) | CPU 414-4H
6ES7 417-4HL04-0AB0,V4.x,discontinued 01/10,21.10 H-CPU as of 08/04 (as of PCS 7 V6.1) | CPU 417-4H
6ES7 414-3XJ04-0AB0,V4.x,discontinued 03/07,21.11 CPU as of 08/04 (as of PCS 7 V6.1) | CPU 414-3
6ES7 416-2XK04-0AB0,V4.x,discontinued 03/07,21.11 CPU as of 08/04 (as of PCS 7 V6.1) | CPU 416-2
6ES7 416-3XL04-0AB0,V4.x,discontinued 03/07,21.11 CPU as of 08/04 (as of PCS 7 V6.1) | CPU 416-3
6ES7 417-4XL04-0AB0,V4.x,discontinued 03/07,21.11 CPU as of 08/04 (as of PCS 7 V6.1) | CPU 417-4
6ES7 414-4HJ00-0AB0,V2.1.1,discontinued 01/06,21.12 H-CPU as of 04/99 (as of PCS 7 V5.0) | CPU 414-4H
6ES7 414-4HJ00-0AB0,V2.1.2,discontinued 01/06,21.12 H-CPU as of 04/99 (as of PCS 7 V5.0) | CPU 414-4H
6ES7 414-4HJ00-0AB0,V3.0,discontinued 01/06,21.12 H-CPU as of 04/99 (as of PCS 7 V5.0) | CPU 414-4H
6ES7 414-4HJ00-0AB0,V3.1,discontinued 01/06,21.12 H-CPU as of 04/99 (as of PCS 7 V5.0) | CPU 414-4H
6ES7 417-4HL00-0AB0,V2.0,discontinued 09/00,21.12 H-CPU as of 04/99 (as of PCS 7 V5.0) | CPU 417-4H
6ES7 417-4HL00-0AB0,V2.1.x,discontinued 09/00,21.12 H-CPU as of 04/99 (as of PCS 7 V5.0) | CPU 417-4H
6ES7 417-4HL01-0AB0,V2.1,listed,21.12 H-CPU as of 04/99 (as of PCS 7 V5.0) | CPU 417-4H
6ES7 417-4HL01-0AB0,V2.1.1,listed,21.12 H-CPU as of 04/99 (as of PCS 7 V5.0) | CPU 417-4H
6ES7 417-4HL01-0AB0,V2.1.2,listed,21.12 H-CPU as of 04/99 (as of PCS 7 V5.0) | CPU 417-4H
6ES7 417-4HL01-0AB0,V3.0,listed,21.12 H-CPU as of 04/99 (as of PCS 7 V5.0) | CPU 417-4H
6ES7 417-4HL01-0AB0,V3.1,listed,21.12 H-CPU as of 04/99 (as of PCS 7 V5.0) | CPU 417-4H
6ES7 414-3XJ00-0AB0,V1.1,listed,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 414-3
6ES7 414-3XJ00-0AB0,V1.2,listed,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 414-3
6ES7 414-3XJ00-0AB0,V3.0,discontinued 01/05,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 414-3
6ES7 414-3XJ00-0AB0,V3.1,discontinued 01/05,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 414-3
6ES7 416-2XK02-0AB0,V1.1,discontinued 01/05,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 416-2
6ES7 416-2XK02-0AB0,V1.2,discontinued 01/05,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 416-2
6ES7 416-2XK02-0AB0,V3.0,discontinued 01/05,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 416-2
6ES7 416-2XK02-0AB0,V3.1,discontinued 01/05,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 416-2
6ES7 416-3XL00-0AB0,V1.1,discontinued 01/05,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 416-3
6ES7 416-3XL00-0AB0,V1.2,discontinued 01/05,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 416-3
6ES7 416-3XL00-0AB0,V3.0,discontinued 01/05,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 416-3
6ES7 416-3XL00-0AB0,V3.1,discontinued 01/05,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 416-3
6ES7 417-4XL00-0AB0,V1.1,discontinued 01/05,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 417-4
6ES7 417-4XL00-0AB0,V1.2.0,discontinued 01/05,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 417-4
6ES7 417-4XL00-0AB0,V3.0,discontinued 01/05,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 417-4
6ES7 417-4XL00-0AB0,V3.1,listed,21.13 CPU as of 04/99 (as of PCS 7 V5.0) | CPU 417-4
6ES7 414-2XJ00-0AB0,,discontinued 04/98,21.14 CPU prior to 04/99 (up to PCS 7 V4.02) | CPU 414-2 DP
6ES7 414-2XJ01-0AB0,,discontinued 03/00,21.14 CPU prior to 04/99 (up to PCS 7 V4.02) | CPU 414-2 DP
6ES7 416-2XK00-0AB0,,discontinued 04/98,21.14 CPU prior to 04/99 (up to PCS 7 V4.02) | CPU 416-2 DP
6ES7 416-2XK01-0AB0,,discontinued 02/01,21.14 CPU prior to 04/99 (up to PCS 7 V4.02) | CPU 416-2 DP
6ES7 416-2XL00-0AB0,,discontinued 05/98,21.14 CPU prior to 04/99 (up to PCS 7 V4.02) | CPU 416-2 DP
6ES7 416-2XL01-0AB0,,discontinued 02/01,21.14 CPU prior to 04/99 (up to PCS 7 V4.02) | CPU 416-2 DP
6GK7 443-1BX00-0XE0,,discontinued 02/03,21.15 CP Ethernet | CP 443-1
6GK7 443-1BX01-0XE0,,discontinued 02/03,21.15 CP Ethernet | CP 443-1 ISO
6GK7 443-1EX01-0XE0,,discontinued 02/03,21.15 CP Ethernet | CP 443-1 TCP
6GK7 443-1EX02-0XE0,V5.2,discontinued 02/03,21.15 CP Ethernet | CP 443-1
6GK7 443-1EX10-0XE0,V1.0,discontinued 01/01,21.15 CP Ethernet | CP 443-1
6GK7 443-1EX10-0XE0,V2.x,discontinued 01/01,21.15 CP Ethernet | CP 443-1
6GK7 443-1EX11-0XE0,V1.1,discontinued 10/09,21.15 CP Ethernet | CP 443-1
6GK7 443-1EX11-0XE0,V2.x,discontinued 10/09,21.15 CP Ethernet | CP 443-1
6GK7 443-1EX20-0XE0,V2.x,discontinued 10/15,21.15 CP Ethernet | CP 443-1
6GK7 443-1EX30-0XE0,V3.x,listed,21.15 CP Ethernet | CP 443-1
6GK7 443-1EX30-0XE1,V3.x,listed,21.15 CP Ethernet | CP 443-1
6GK7 443-1GX30-0XE0,V3.x,listed,21.15 CP Ethernet | CP 443-1 Advanced
6GK7 443-1EX31-0XE0,V4.0,listed,21.15 CP Ethernet | CP 443-1
6GK7 443-5DX01-0XE0,,discontinued 10/01,21.16 CP PROFIBUS | CP 443-5 Extended
6GK7 443-5DX02-0XE0,V3.x,discontinued 08/01,21.16 CP PROFIBUS | CP 443-5 Extended
6GK7 443-5DX03-0XE0,V4.0,discontinued 05/05,21.16 CP PROFIBUS | CP 443-5 Extended
6GK7 443-5DX03-0XE0,V5.x,discontinued 05/05,21.16 CP PROFIBUS | CP 443-5 Extended
6GK7 443-5DX04-0XE0,V6.x,discontinued 09/11,21.16 CP PROFIBUS | CP 443-5 Extended
6GK7 443-5DX05-0XE0,V7.x,listed,21.16 CP PROFIBUS | CP 443-5 Extended
6GK7 443-5DX05-0XE1,V7.x,listed,21.16 CP PROFIBUS | CP 443-5 Extended
6ES7 460-0AA00-0AB0,,discontinued 12/01,21.17 IM | IM 460-0
6ES7 460-0AA01-0AB0,,listed,21.17 IM | IM 460-0
6ES7 460-1BA00-0AB0,,discontinued 12/01,21.17 IM | IM 460-1
6ES7 460-1BA01-0AB0,,listed,21.17 IM | IM 460-1
6ES7 460-3AA00-0AB0,,discontinued 12/01,21.17 IM | IM 460-3
6ES7 460-3AA01-0AB0,,listed,21.17 IM | IM 460-3
6ES7 460-4AA01-0AB0,,discontinued 10/16,21.17 IM | IM 460-4
6ES7 461-0AA00-0AA0,,discontinued 12/01,21.17 IM | IM 461-0
6ES7 461-0AA01-0AA0,,listed,21.17 IM | IM 461-0
6ES7 461-1BA00-0AA0,,discontinued 12/01,21.17 IM | IM 461-1
6ES7 461-1BA01-0AA0,,listed,21.17 IM | IM 461-1
6ES7 461-3AA00-0AA0,,discontinued 12/01,21.17 IM | IM 461-3
6ES7 461-3AA01-0AA0,,listed,21.17 IM | IM 461-3
6ES7 461-4AA01-0AA0,,discontinued 10/16,21.17 IM | IM 461-4
6ES7 463-2AA00-0AA0,,discontinued 03/17,21.17 IM | IM 463-2
6ES7 405-0KA00-0AA0,,discontinued 02/01,21.18 PS | PS 405 10A
6ES7 405-0KA01-0AA0,,discontinued 03/05,21.18 PS | PS 405 10A
6ES7 405-0KA02-0AA0,,listed,21.18 PS | PS 405 10A
6ES7 405-0RA01-0AA0,,discontinued 10/07,21.18 PS | PS 405 20A
6ES7 405-0RA02-0AA0,,listed,21.18 PS | PS 405 20A
6ES7 405-0KR00-0AA0,,discontinued 09/06,21.18 PS | PS 405 10A
6ES7 405-0KR02-0AA0,,listed,21.18 PS | PS 405 10A
6ES7 405-0KR02-0AA1,,listed,21.18 PS | PS 405 10A
6ES7 405-0DA02-0AA0,,listed,21.18 PS | PS 405 4A
6ES7 405-0DA02-0AA1,,listed,21.18 PS | PS 405 4A
6ES7 407-0KA00-0AA0,,discontinued 03/99,21.18 PS | PS 407 10A
6ES7 407-0KA01-0AA0,,discontinued 02/07,21.18 PS | PS 407 10A
6ES7 407-0KA02-0AA0,,listed,21.18 PS | PS 407 10A
6ES7 407-0RA01-0AA0,,discontinued 09/06,21.18 PS | PS 407 20A
6ES7 407-0RA02-0AA0,,listed,21.18 PS | PS 407 20A
6ES7 407-0KR00-0AA0,,discontinued 09/06,21.18 PS | PS 407 10A
6ES7 407-0KR02-0AA0,,listed,21.18 PS | PS 407 10A
6ES7 407-0KR02-0AA1,,listed,21.18 PS | PS 407 10A
6ES7 407-0DA02-0AA0,,listed,21.18 PS | PS 407 4A
6ES7 407-0DA02-0AA1,,listed,21.18 PS | PS 407 4A
6ES7 400-1JA00-0AA0,,discontinued 01/98,21.19 Racks | UR2
6ES7 400-1JA01-0AA0,,listed,21.19 Racks | UR2
6ES7 400-1JA11-0AA0,,listed,21.19 Racks | UR2 ALU
6ES7 400-1JA11-0AA1,,listed,21.19 Racks | UR2 ALU
6ES7 400-1TA00-0AA0,,discontinued 08/98,21.19 Racks | UR1
6ES7 400-1TA01-0AA0,,listed,21.19 Racks | UR1
6ES7 400-1TA11-0AA0,,listed,21.19 Racks | UR1 ALU
6ES7 400-2JA00-0AA0,,listed,21.19 Racks | UR2-H
6ES7 400-2JA10-0AA0,,listed,21.19 Racks | UR2-H ALU
6ES7 400-2JA10-0AA1,,listed,21.19 Racks | UR2-H ALU
6ES7 401-1DA01-0AA0,,listed,21.19 Racks | CR3
6ES7 401-1DA01-0AA1,,listed,21.19 Racks | CR3
6ES7 421-1BL00-0AA0,,discontinued 10/04,21.20 SM DI | SM 421 DI 32xDC 24V
6ES7 421-1BL01-0AA0,,listed,21.20 SM DI | SM 421 DI 32xDC 24V
6ES7 421-1EL00-0AA0,,listed,21.20 SM DI | SM 421 DI 32xAC 120V
6ES7 421-1FH00-0AA0,,discontinued 08/02,21.20 SM DI | SM 421 DI 16xUC 120/230V
6ES7 421-1FH20-0AA0,,listed,21.20 SM DI | SM 421 DI 16xUC 120/230V
6ES7 421-7BH00-0AB0,,discontinued 10/04,21.20 SM DI | SM 421 DI 16xDC 24V
6ES7 421-7BH01-0AB0,,listed,21.20 SM DI | SM 421 DI 16xDC 24V
6ES7 421-7DH00-0AB0,,listed,21.20 SM DI | SM421 DI 16xUC 24/60V Alarm
6ES7 421-5EH00-0AA0,,discontinued 10/04,21.20 SM DI | SM421 DI 16xAC 120V
6ES7 422-1BH10-0AA0,,discontinued 10/04,21.21 SM DO | SM 422 DO 16x DC 24V/2A
6ES7 422-1BH11-0AA0,,listed,21.21 SM DO | SM 422 DO 16x DC 24V/2A
6ES7 422-1BL00-0AA0,,listed,"21.21 SM DO | SM 422 DO 32x DC 24V/0,5A"
6ES7 422-1FF00-0AA0,,discontinued 10/04,21.21 SM DO | SM 422 DO 8x AC 120/230/5A
6ES7 422-1FH00-0AA0,,listed,21.21 SM DO | SM 422 DO 16x AC 120/230/2A
6ES7 422-1HH00-0AA0,,listed,21.21 SM DO | SM 422 DO 16x AC 230V/5A Rel.
6ES7 422-7BL00-0AB0,,listed,21.21 SM DO | SM 422 DO 32x DC 24V/0.5A
6ES7 422-5EH00-0AB0,,discontinued 10/04,21.21 SM DO | SM 422 DO 16x AC 120V/2A
6ES7 422-5EH10-0AB0,,discontinued 10/04,21.21 SM DO | SM 422 DO 16x DC 20-125V/1.5A
6ES7 431-0HH00-0AB0,,listed,21.22 SM AI | SM 431 AI 16x13Bit
6ES7 431-1KF00-0AB0,,listed,21.22 SM AI | SM 431 AI 8 x 13Bit
6ES7 431-1KF10-0AB0,,listed,21.22 SM AI | SM 431 AI 8 x 14Bit
6ES7 431-1KF20-0AB0,,listed,21.22 SM AI | SM 431 AI 8 x 14Bit
6ES7 431-7QH00-0AB0,,listed,21.22 SM AI | SM 431 AI 16 x 16Bit
6ES7 431-7KF00-0AB0,,listed,21.22 SM AI | SM 431 AI 8 x 16Bit
6ES7 431-7KF10-0AB0,,listed,21.22 SM AI | SM 431 AI 8 x 16Bit
6ES7 432-1HF00-0AB0,,listed,21.23 SM AO | SM432 AO 8 x 13Bit
6ES7155-6BA01-0CN0,,listed,tablo dışı metinde geçiyor (dipnot) - teyit edilmeli
