mlfb,fw,status,note
6ES7 650-8PB00-0AA0,,listed,8.6 Accessories | Bus module IM/IM
6ES7 650-8PB00-1AA0,,listed,8.6 Accessories | Bus module IM/IM
6ES7 650-8PC00-0AA0,,listed,8.6 Accessories | Bus module
6ES7 650-8PC00-1AA0,,listed,8.6 Accessories | Bus module
6ES7 134-5RB00-0AB0,,discontinued 09/06,9.1 AI | 2 AI 2 WIRE
6ES7 134-5RB50-0AB0,,discontinued 09/06,9.1 AI | 2 AI 4 WIRE
6ES7 134-5SB00-0AB0,,discontinued 09/06,9.1 AI | 2 AI TC
6ES7 134-5SB50-0AB0,,discontinued 09/06,9.1 AI | 2 AI RTD
6ES7 134-5TB00-0AB0,,discontinued 09/06,9.1 AI | 2 AI 2 WIRE HART
6ES7 134-5TB50-0AB0,,discontinued 09/06,9.1 AI | 2 AI 4 WIRE HART
6ES7 135-5RB00-0AB0,,listed,9.2 AO | 2 AO 0/4-20mA
6ES7 135-5TB00-0AB0,,discontinued 09/06,9.2 AO | 2 AO HART
6ES7 131-5RD00-0AB0,,discontinued 09/06,9.3 DI | 4 DI NAMUR
6ES7 132-5SB00-0AB0,,discontinued 09/06,9.4 DO | 2 DO
6ES7 151-2AA00-0AB0,,discontinued 09/06,9.5 IM | ET 200iS-IM 151-2
6ES7 138-5EA00-0AA0,,discontinued 09/06,9.6 PS | PS
6ES7 193-5CB00-0AA0,,discontinued 09/06,9.7 Terminal module | TM-E30S-44iS
6ES7 193-5CB10-0AA0,,discontinued 09/06,9.7 Terminal module | TM-E30C-44iS
6ES7 193-5DA00-0AA0,,discontinued 09/06,9.7 Terminal module | TM-PS-iS
6ES7 193-5DB00-0AA0,,discontinued 09/06,9.7 Terminal module | TM-IM-iS
6ES7134-7TD00-0AB0,,listed,10.1 AI | 4 AI I 2WIRE HART
6ES7134-7TD50-0AB0,,listed,10.1 AI | 4 AI I 4WIRE HART
6ES7134-7SD00-0AB0,,listed,10.1 AI | 4 AI TC
6ES7134-7SD50-0AB0,,discontinued 05/08,10.1 AI | 4 AI RTD
6ES7134-7SD51-0AB0,,listed,10.1 AI | 4 AI RTD
6ES7138-7FA00-0AB0,,listed,10.2 AI-F | 4F-AI I Ex HART
6ES7135-7TD00-0AB0,,listed,10.3 AO | 4 AO I HART
6ES7131-7RF00-0AB0,,listed,10.4 DI | 8 DI NAMUR
6ES7138-7FN00-0AB0,,listed,10.5 DI-F | 8F-DI NAMUR Ex
6ES7132-7HB00-0AB0,,listed,10.6 DO | 2 DO Relais UC 60 V/2 A
6ES7132-7RD00-0AB0,,discontinued 10/06,"10.6 DO | 4 DO DC23,1V/20mA"
6ES7132-7RD01-0AB0,,listed,"10.6 DO | 4 DO DC23,1V/20mA Shutdown ""H"""
6ES7132-7RD10-0AB0,,discontinued 10/06,"10.6 DO | 4 DO DC17,4V/27mA"
6ES7132-7RD11-0AB0,,listed,"10.6 DO | 4 DO DC17,4V/27mA Shutdown ""H"""
6ES7132-7RD20-0AB0,,discontinued 10/06,"10.6 DO | 4 DO DC17,4V/40mA"
6ES7132-7RD21-0AB0,,discontinued 06/10,"10.6 DO | 4 DO DC17,4V/40mA Shutdown ""H"""""
6ES7132-7RD22-0AB0,,listed,"10.6 DO | 4 DO DC17,4V/40mA Shutdown ""H"""
6ES7132-7GD00-0AB0,,listed,"10.6 DO | 4 DO DC23,1V/20mA Shutdown ""L"""
6ES7132-7GD10-0AB0,,listed,"10.6 DO | 4 DO DC17,4V/27mA Shutdown ""L"""
6ES7132-7GD20-0AB0,,discontinued 06/10,"10.6 DO | 4 DO DC17,4V/40mA Shutdown ""L"""
6ES7132-7GD21-0AB0,,listed,"10.6 DO | 4 DO DC17,4V/40mA Shutdown ""L"""
6ES7132-7GD30-0AB0,,listed,"10.6 DO | 4 DO DC25,5V/22mA Shutdown ""L"""
6ES7138-7FD00-0AB0,,listed,"10.7 DO-F | 4F-DO Ex(i) DC 17,4V/ 40mA"
6ES7152-1AA00-0AB0,,listed,10.8 IM | ET 200iSP-IM 152-1
6ES7152-1AA00-0AB0,V2.0,listed,10.8 IM | ET 200iSP-IM 152-1
6ES7152-1BA00-0AB0,,listed,10.8 IM | ET 200iSP-IM 152-1PN
6ES7 138-7EA00-0AA0,,discontinued 07/06,10.9 PS | PS DC 24V
6ES7 138-7EA01-0AA0,,listed,10.9 PS | PS DC 24V
6ES7 138-7EC00-0AA0,,listed,10.9 PS | PS AC 120/230V
6ES7138-7AA00-0AA0,,listed,10.10 EM | Reserve module
6ES7138-7BB00-0AB0,,listed,10.11 Watchdog | Watchdog module
6ES7 972-0AC80-0XA0,,listed,10.12 Couplers | RS 485-IS coupler
6ES7 193-7CA00-0AA0,,listed,10.13 Terminal module | TM-EM/EM 60S
6ES7 193-7CA10-0AA0,,listed,10.13 Terminal module | TM-EM/EM 60C
6ES7193-7CA11-0AA0,,listed,10.13 Terminal module | TM-EM/EM 60P
6ES7 193-7CA20-0AA0,,listed,10.13 Terminal module | TM-EM/EM 60S
6ES7 193-7CB00-0AA0,,listed,10.13 Terminal module | TM-EM Relais C
6ES7 193-7AA00-0AA0,,listed,10.13 Terminal module | TM-IM/EM 60S
6ES7 193-7AA10-0AA0,,listed,10.13 Terminal module | TM-IM/EM 60C
6ES7193-7AA11-0AA0,,listed,10.13 Terminal module | TM-IM/EM 60P
6ES7 193-7AA20-0AA0,,listed,10.13 Terminal module | TM-IM/EM 60S
6ES7 193-7AB00-0AA0,,listed,10.13 Terminal module | TM-IM/IM
6ES7 193-7DA00-0AA0,,discontinued 07/06,10.13 Terminal module | TM-PS-A
6ES7 193-7DB00-0AA0,,discontinued 07/06,10.13 Terminal module | TM-PS-B
6ES7 193-7DA10-0AA0,,discontinued 12/17,10.13 Terminal module | TM-PS-A
6ES7 193-7DB10-0AA0,,discontinued 12/17,10.13 Terminal module | TM-PS-B
6ES7 193-7DA20-0AA0,,listed,10.13 Terminal module | TM-PS-A
6ES7 193-7DB20-0AA0,,listed,10.13 Terminal module | TM-PS-B
6ES7 134-4FB00-0AB0,,discontinued 07/05,11.1 AI | 2 AI U
6ES7 134-4FB01-0AB0,,listed,11.1 AI | 2 AI U
6ES7 134-4GB00-0AB0,,discontinued 04/05,11.1 AI | 2 AI I 2DMU
6ES7 134-4GB01-0AB0,,listed,11.1 AI | 2 AI I 2DMU
6ES7 134-4GB10-0AB0,,discontinued 05/05,11.1 AI | 2 AI I 4DMU
6ES7 134-4GB11-0AB0,,listed,11.1 AI | 2 AI I 4DMU
